cell_name,knee_cycle,cap_end,cap_max,cap_mean,cap_mid,cap_min,cap_range,cap_start,cap_std,dQ_kurtosis,dQ_mean,dQ_min,dQ_skewness,dQ_std,drop_ratio,exp_a,exp_b,exp_c,linear_intercept,linear_r2,linear_slope,log_var_dQ,quad_a,quad_b,total_drop
SEV_batch1_c000,701,1.0757886,1.0770824,1.0759164,1.0767009,1.0706892,0.0063932,1.0706892,0.0011876057,5.8728023,5.150909e-05,-0.0034355,0.31721532,0.0008781572,-0.15175408,0.0004607079,4.2377408e-13,1.0754557,1.0751245,0.14527524,1.568124e-05,-6.1128554,-1.0479854e-06,0.000121527766,-0.0050994
SEV_batch1_c003,876,1.0846678,1.086253,1.0849462,1.0858119,1.0797229,0.0065301,1.0797229,0.0010856892,35.02021,4.9948485e-05,-0.0039966,-2.830469,0.0005408571,-0.1878962,0.003020509,2.606575e-13,1.0819256,1.0841149,0.19153169,1.6460315e-05,-6.533835,-1.020545e-06,0.00011953537,-0.0049449
SEV_batch1_c004,877,1.0825965,1.0843166,1.082841,1.0835887,1.0780181,0.0062985,1.0784167,0.0010843017,35.814953,4.2220203e-05,-0.0036754,-2.7135642,0.0004989009,-0.19184068,0.008751981,5.5872512e-14,1.074089,1.0819178,0.23691246,1.828338e-05,-6.6039715,-1.0200312e-06,0.000121306526,-0.0041798
SEV_batch1_c005,906,1.0796983,1.0820704,1.0803212,1.0809798,1.075169,0.0069014,1.0761266,0.001038837,46.059666,3.6077778e-05,-0.0053311,-4.7286897,0.000654896,-0.2640526,3.6372537e-11,3.2748908e-06,1.0803212,1.0797899,0.08546843,1.0521136e-05,-6.3676553,-9.941629e-07,0.000110931585,-0.0035717
SEV_batch1_c006,518,1.0791765,1.082139,1.0808945,1.0817475,1.0758358,0.0063032,1.0758358,0.0011528359,39.58814,3.3744443e-05,-0.0038166,-4.461223,0.00048240338,-0.43490028,0.6019226,0.00093610043,0.47925347,1.0811821,0.020346219,-5.6966783e-06,-6.633179,-1.2418177e-06,0.00011972691,-0.0033407
SEV_batch1_c007,569,1.0957599,1.0979686,1.0969148,1.097564,1.0938644,0.0041042,1.0938644,0.000816103,18.135824,1.9146464e-05,-0.0036286,-1.9017608,0.0006000811,-0.48764732,0.6251709,0.0010972128,0.4720867,1.0972648,0.060087215,-6.9302414e-06,-6.44358,-7.1864986e-07,6.5653396e-05,-0.0018955
SEV_batch1_c008,494,1.0941944,1.0959139,1.0947661,1.0954081,1.0899748,0.0059391,1.0899748,0.000865945,19.520973,4.262222e-05,-0.000609,3.3116274,0.00019520326,-0.22338174,7.567147e-11,1.4311839e-05,1.0947661,1.0945175,0.026951883,4.924898e-06,-7.419026,-9.256183e-07,9.841235e-05,-0.0042196
SEV_batch1_c009,887,1.0876603,1.0889499,1.0876994,1.0884784,1.0829742,0.0059757,1.0829742,0.00096738903,6.1300464,4.7334343e-05,-0.0005795,1.3147883,0.00015935587,-0.14863196,0.009296872,4.104671e-14,1.0784026,1.0868087,0.27706292,1.7640168e-05,-7.595264,-9.122055e-07,0.000109772925,-0.0046861
SEV_batch1_c010,506,1.0815996,1.0849713,1.0817035,1.0825725,1.0752757,0.0096956,1.0752757,0.0015633834,44.598732,6.387778e-05,-0.0091423,-3.9330676,0.0011453364,-0.13333242,0.018735277,6.9875106e-15,1.0629683,1.0804675,0.20427021,2.447825e-05,-5.882134,-1.3796015e-06,0.000163818,-0.0063239
SEV_batch1_c011,507,1.0599171,1.063239,1.0600822,1.0608104,1.0537786,0.0094604,1.0537786,0.0014199737,43.50683,6.200505e-05,-0.0085665,-3.799484,0.0010813394,-0.12703718,0.011813805,2.5168244e-14,1.0482684,1.0590186,0.18333076,2.1062518e-05,-5.932076,-1.269679e-06,0.0001493001,-0.0061385
SEV_batch1_c012,504,1.0818927,1.0833936,1.0821526,1.0828047,1.077566,0.0058276,1.077566,0.0008593358,16.721214,4.370404e-05,-0.0004144,3.210717,0.00016639044,-0.174089,1.4072898e-11,1.0613687e-06,1.0821526,1.0815444,0.16367017,1.2043703e-05,-7.557743,-8.7406056e-07,0.00010032382,-0.0043267
SEV_batch1_c013,500,1.0836203,1.0857729,1.0842667,1.0851662,1.0797893,0.0059836,1.0797893,0.0008204043,17.00649,3.869697e-05,-0.0007202,2.6961908,0.00019933547,-0.28750768,4.8356992e-11,1.1403053e-05,1.0842667,1.0840678,0.01920214,3.938357e-06,-7.4008307,-8.790648e-07,9.27239e-05,-0.003831
SEV_batch1_c014,522,1.0761763,1.0778438,1.0761037,1.0767028,1.0708272,0.0070166,1.0709661,0.0012146928,46.389854,5.2628282e-05,-0.0047608,-4.7626247,0.0005854262,-0.0917775,0.02769934,3.274022e-16,1.0484043,1.074816,0.36717343,2.5498488e-05,-6.4650555,-1.0048234e-06,0.00012698564,-0.0052102
SEV_batch1_c015,517,1.0676749,1.0693387,1.0676571,1.0685061,1.0611236,0.0082151,1.0611236,0.0013867223,43.16322,6.617475e-05,-0.0051002,-4.3262587,0.0006409587,-0.11259059,0.028143153,3.2482292e-16,1.039514,1.0662332,0.34451535,2.819721e-05,-6.3863397,-1.1920006e-06,0.00014858927,-0.0065513
SEV_batch1_c016,525,1.086248,1.0885919,1.0864674,1.0871048,1.0811664,0.0074255,1.0811664,0.0011913936,44.001015,5.1329294e-05,-0.0044643,-5.098982,0.00055104384,-0.14428128,0.019146854,4.3021655e-15,1.0673205,1.0853392,0.2929945,2.2340728e-05,-6.5176277,-1.0370447e-06,0.00012708225,-0.0050816
SEV_batch1_c017,507,1.0769713,1.0792258,1.0771049,1.0779532,1.072052,0.0071738,1.072052,0.0010436102,12.39098,4.9689897e-05,-0.0012291,0.712453,0.00028266147,-0.16638988,0.006041129,9.561919e-14,1.0710638,1.0762326,0.22830983,1.7274797e-05,-7.097467,-1.0190001e-06,0.000120193814,-0.0049193
SEV_batch1_c019,507,1.0870329,1.0893054,1.0883551,1.0887195,1.0851147,0.0041907,1.0851147,0.00077553437,8.466687,1.9375757e-05,-0.0012826,0.83539313,0.00035036213,-0.46787617,0.7740768,0.0013866605,0.31481472,1.0889026,0.16284123,-1.0841655e-05,-6.910966,-7.4372844e-07,6.4274915e-05,-0.0019182
SEV_batch1_c020,421,1.0610521,1.0757242,1.0697532,1.0707365,1.0610521,0.0146721,1.07263,0.004233656,46.357124,-0.00011694848,-0.0073626,-3.1802113,0.0009166667,5.1145496,1.0626688,0.013197858,0.014065975,1.0768659,0.9222119,-0.0001408456,-6.0755773,-1.2373689e-06,-1.5871334e-05,0.0115779
SEV_batch1_c021,462,1.0766116,1.0859262,1.0821704,1.0832673,1.0766116,0.0093146,1.0824388,0.002647142,48.15614,-5.8860605e-05,-0.0074702,-3.872821,0.00091476145,-8.033435,1.0862658,0.0075594606,4.827466e-10,1.0863463,0.8130834,-8.2690785e-05,-6.0773845,-1.1427667e-06,3.2728647e-05,0.0058272
SEV_batch1_c022,793,1.0820323,1.0843072,1.0829704,1.0842165,1.0793039,0.0050033,1.0793039,0.00074228126,8.399932,2.7559596e-05,-0.0012466,0.18620831,0.0003357983,-0.44461182,0.6312365,0.0011161638,0.452086,1.0833298,0.07662314,-7.118046e-06,-6.947843,-6.949806e-07,6.307499e-05,-0.0027284
SEV_batch1_c023,891,1.0816643,1.0837864,1.0824531,1.0836648,1.0792934,0.004493,1.0792934,0.00063981046,8.888396,2.3948485e-05,-0.0012773,-0.005941484,0.00032988956,-0.45763373,0.5653312,0.0012639429,0.517479,1.0828176,0.10604217,-7.217769e-06,-6.963263,-5.5091823e-07,4.8424972e-05,-0.0023709
SEV_batch1_c024,208,1.0776454,1.079075,1.0780293,1.0788484,1.0745355,0.0045395,1.0745355,0.0007110581,3.6385398,3.1413132e-05,-0.0013753,-0.14346632,0.00045758142,-0.27893066,3.349965e-08,1.079871e-05,1.0780293,1.0779418,0.004953874,1.7337636e-06,-6.6790633,-7.03968e-07,7.283453e-05,-0.0031099
SEV_batch1_c025,569,1.0779946,1.0799131,1.0788393,1.079664,1.0752345,0.0046786,1.0752345,0.00072871975,17.63619,2.7879798e-05,-0.0012473,0.7716384,0.0002345673,-0.37688228,0.08984726,1.0202755e-05,0.9889926,1.0788398,1.3303853e-07,-9.207921e-09,-7.259465,-8.093793e-07,8.17381e-05,-0.0027601
SEV_batch1_c026,431,1.0894133,1.0915462,1.0905627,1.0912036,1.0870471,0.0044991,1.0876514,0.00086547225,6.2064013,1.779697e-05,-0.0024928,-0.19970433,0.0005771754,-0.50399756,0.8542108,0.0017910546,0.23711638,1.0913428,0.26548123,-1.544836e-05,-6.4773846,-6.8764035e-07,5.4003314e-05,-0.0017619
SEV_batch1_c027,502,1.0810125,1.0829995,1.0820258,1.0826724,1.0790461,0.0039534,1.0790461,0.0007539461,4.749916,1.9862626e-05,-0.0012744,0.01282287,0.00041555648,-0.4577393,0.73280394,0.0014926948,0.3497685,1.0825837,0.17889778,-1.1047274e-05,-6.7627397,-6.4671093e-07,5.4270527e-05,-0.0019664
SEV_batch1_c029,505,1.0818329,1.0838029,1.0827733,1.0836052,1.0794537,0.0043492,1.0794537,0.00064608385,23.247831,2.4032322e-05,-0.0006384,3.3753161,0.00017324105,-0.42690596,0.5273346,0.0010551696,0.5557168,1.0830573,0.06309712,-5.622196e-06,-7.5226984,-6.5992856e-07,6.1030587e-05,-0.0023792
SEV_batch1_c030,432,1.0813658,1.0838182,1.0828091,1.0834047,1.0798637,0.0039545,1.0798637,0.0008306752,7.946015,1.5172727e-05,-0.001219,0.35792348,0.00034580077,-0.5757978,0.87790745,0.0018894922,0.20573059,1.0836549,0.3387234,-1.6748123e-05,-6.922348,-6.599561e-07,4.990744e-05,-0.0015021
SEV_batch1_c031,629,1.0953295,1.0983334,1.097051,1.0975264,1.0946392,0.0036942,1.0946392,0.0009875272,6.0299273,6.972727e-06,-0.0013121,0.13522647,0.00039656562,-0.7609103,0.95326585,0.0027503169,0.14509487,1.098387,0.5980265,-2.6455846e-05,-6.80337,-5.167434e-07,2.573524e-05,-0.0006903
SEV_batch1_c034,541,1.0794086,1.0814824,1.0800633,1.0812155,1.0766174,0.004865,1.0766174,0.0007229787,3.5815,2.819394e-05,-0.0012524,-0.034125008,0.00045758544,-0.39296666,0.094441265,0.00072696235,0.98565644,1.0800985,0.0007734953,-6.9657307e-07,-6.6790557,-6.814035e-07,6.8125184e-05,-0.0027912
SEV_batch1_c035,495,1.0739355,1.0758256,1.074502,1.0756419,1.0707464,0.0050792,1.0707464,0.0006979774,5.641525,3.221313e-05,-0.0012405,0.14817329,0.0003936201,-0.348565,2.7348708e-11,8.115284e-06,1.074502,1.0743625,0.013033762,2.7605051e-06,-6.8098454,-6.930218e-07,7.2755705e-05,-0.0031891
SEV_batch1_c036,490,1.0801983,1.0823593,1.0812658,1.0822545,1.0778315,0.0045278,1.0778315,0.0007114378,5.9255104,2.390707e-05,-0.0012491,0.20786726,0.0003879027,-0.4648881,0.6406778,0.0011758606,0.44096452,1.0816501,0.09534497,-7.6102365e-06,-6.8225546,-6.4951405e-07,5.799068e-05,-0.0023668
SEV_batch1_c037,438,1.0767663,1.0792918,1.0780174,1.0791242,1.0748194,0.0044724,1.0748194,0.0007633655,6.0308056,1.9665657e-05,-0.0012496,0.19241264,0.0003845,-0.5477374,0.7408812,0.0013555579,0.3376381,1.0785297,0.1471435,-1.0144144e-05,-6.8302073,-7.1326826e-07,6.189595e-05,-0.0019469
SEV_batch1_c039,504,1.084751,1.0864667,1.08565,1.0861306,1.0817773,0.0046894,1.0817773,0.0006962796,30.12257,3.0037374e-05,-0.000449,4.664307,0.00018778983,-0.31690902,0.41445023,0.0008917835,0.6713844,1.0858386,0.023989875,-3.736027e-06,-7.452656,-7.281915e-07,6.9811314e-05,-0.0029737
SEV_batch1_c040,485,1.0857539,1.0878062,1.0869182,1.0877703,1.0833029,0.0045033,1.0833029,0.0007324824,23.824858,2.4757575e-05,-0.0004383,4.245026,0.00018731596,-0.45135874,0.5788867,0.0014808294,0.5084599,1.0873555,0.116465725,-8.659815e-06,-7.45485,-7.330682e-07,6.538007e-05,-0.002451
SEV_batch1_c042,500,1.083203,1.084832,1.0838823,1.0846211,1.0798725,0.0049595,1.0798725,0.0006367936,30.761423,3.3641416e-05,-0.0005016,4.70425,0.00019510434,-0.2986354,2.7654414e-08,9.966182e-06,1.0838823,1.0837994,0.005548176,1.643184e-06,-7.419466,-6.590634e-07,6.820859e-05,-0.0033305
SEV_batch1_c043,498,1.0687802,1.071671,1.0705048,1.0712458,1.0682389,0.0034321,1.0682389,0.0008996516,23.081352,5.4676766e-06,-0.000528,3.858692,0.00016931273,-0.81998074,0.9464101,0.0025479856,0.12529933,1.0717337,0.60972977,-2.4336347e-05,-7.5426207,-5.4656266e-07,3.086648e-05,-0.0005413
SEV_batch1_c044,500,1.084736,1.0883306,1.086821,1.0874091,1.0847102,0.0036204,1.0847682,0.001140493,24.917322,-3.2525253e-07,-0.0006518,3.7976787,0.00018762743,-1.0121928,1.0231744,0.003281245,0.06532338,1.0885314,0.734805,-3.3868113e-05,-7.4534073,-5.300682e-07,1.9668772e-05,3.22e-05
SEV_batch1_c045,506,1.085796,1.0884383,1.0871458,1.088024,1.0839558,0.0044825,1.0839558,0.0007734844,22.441637,1.8587878e-05,-0.0007681,3.0874481,0.00019242775,-0.5476624,0.8359582,0.0015809359,0.25184807,1.0878198,0.24807976,-1.334626e-05,-7.4314647,-6.9111695e-07,5.6456553e-05,-0.0018402
SEV_batch2_c002,246,1.0759984,1.0799674,1.0779556,1.0784789,1.0708591,0.0091083,1.0708591,0.0013487345,1.8246709,5.191212e-05,-0.0014122,0.42612,0.0006570646,-0.32553348,0.761758,0.0010588339,0.3166007,1.0783674,0.030449014,-8.15315e-06,-6.364784,-1.4423227e-06,0.00013752145,-0.0051393
