variant,n_early,seed,n_train,n_test,n_params,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias,fold
constant_median,50,0,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,1,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,2,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,0,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,1,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,2,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,0,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,1,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,2,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,0,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
constant_median,50,1,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
constant_median,50,2,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
full,150,0,63,22,7591,86.441,129.7382,19.7943,37.9205,0.5455,0.7273,-13.8668,0
full,150,1,63,22,7591,100.8305,132.3409,24.1827,80.308,0.3182,0.6364,10.776,0
full,150,2,63,22,7591,89.5365,130.6395,21.0905,39.3716,0.5455,0.6818,-14.5865,0
full,150,0,63,23,7591,123.0532,265.0697,18.3115,45.5928,0.5652,0.7826,-84.4553,1
full,150,1,63,23,7591,113.5143,255.194,17.3785,35.718,0.6087,0.7391,-57.387,1
full,150,2,63,23,7591,125.3965,262.4078,19.3869,38.926,0.5652,0.7391,-81.2725,1
full,150,0,66,20,7591,107.7798,171.5063,16.9227,49.0026,0.55,0.75,-79.8214,2
full,150,1,66,20,7591,104.0953,157.7496,17.1494,46.1285,0.55,0.7,-65.6848,2
full,150,2,66,20,7591,111.6269,165.9885,18.2246,56.9146,0.45,0.65,-82.6399,2
full,150,0,65,21,7591,139.9162,226.781,25.718,103.444,0.4286,0.4762,-67.1765,3
full,150,1,65,21,7591,136.6995,222.3767,24.6946,96.9943,0.381,0.5238,-81.1707,3
full,150,2,65,21,7591,130.7152,220.5948,22.3635,52.611,0.4762,0.5714,-68.9057,3
full,150,0,66,20,7591,128.6913,178.7828,27.7601,65.932,0.4,0.6,-21.0404,4
full,150,1,66,20,7591,132.1463,173.2716,30.2712,76.2696,0.35,0.6,2.4742,4
full,150,2,66,20,7591,129.9716,177.8427,28.5513,66.7655,0.35,0.6,-17.3582,4
arch_only,150,0,63,22,7591,114.9207,148.9121,27.6505,101.6479,0.2727,0.5,23.7235,0
arch_only,150,1,63,22,7591,101.56,134.4804,23.2357,87.6704,0.3182,0.5909,10.0903,0
arch_only,150,2,63,22,7591,102.707,134.2015,24.2173,74.4695,0.3182,0.5909,12.0645,0
arch_only,150,0,63,23,7591,127.0133,254.5628,20.0288,58.1681,0.4783,0.6957,-52.2844,1
arch_only,150,1,63,23,7591,125.0608,249.4153,19.4312,60.343,0.4783,0.7391,-51.1616,1
arch_only,150,2,63,23,7591,128.714,252.0731,20.4492,59.7834,0.4348,0.6087,-58.193,1
arch_only,150,0,66,20,7591,110.4073,151.3949,18.9548,74.2906,0.4,0.7,-57.5833,2
arch_only,150,1,66,20,7591,103.3645,142.3168,17.4788,54.2133,0.45,0.65,-48.3395,2
arch_only,150,2,66,20,7591,108.6973,154.8224,18.2744,66.8805,0.45,0.65,-53.3786,2
arch_only,150,0,65,21,7591,135.1617,226.1652,24.0389,54.9511,0.4762,0.5714,-49.6861,3
arch_only,150,1,65,21,7591,123.6926,205.8429,22.4839,60.8721,0.4286,0.619,-37.9653,3
arch_only,150,2,65,21,7591,135.3788,220.6881,25.1375,75.9418,0.4762,0.5238,-46.5754,3
arch_only,150,0,66,20,7591,139.2831,179.0038,33.2444,70.8783,0.25,0.55,21.3242,4
arch_only,150,1,66,20,7591,137.7077,173.9873,33.475,111.1501,0.2,0.5,28.1429,4
arch_only,150,2,66,20,7591,134.5529,180.1849,31.0489,87.1747,0.35,0.55,15.8604,4
physics_only,150,0,63,22,7591,177.1754,234.5682,33.0736,145.1155,0.2727,0.3636,-174.2,0
physics_only,150,1,63,22,7591,108.8103,136.455,28.2762,85.6671,0.2727,0.5909,-7.7127,0
physics_only,150,2,63,22,7591,190.3569,234.2493,39.4572,155.4891,0.1364,0.1818,-180.1616,0
physics_only,150,0,63,23,7591,251.5069,380.1793,39.8375,203.9679,0.2174,0.2609,-250.4564,1
physics_only,150,1,63,23,7591,161.8177,300.1663,26.3165,80.8738,0.2609,0.5652,-116.9695,1
physics_only,150,2,63,23,7591,240.4914,362.7502,40.03,162.5157,0.0435,0.2609,-231.3621,1
physics_only,150,0,66,20,7591,241.1867,304.2298,40.3539,203.0903,0.2,0.25,-241.1867,2
physics_only,150,1,66,20,7591,160.002,218.4231,26.4684,101.4678,0.25,0.5,-147.4578,2
physics_only,150,2,66,20,7591,237.4389,288.5047,42.4432,189.378,0.1,0.1,-236.2402,2
physics_only,150,0,65,21,7591,190.1521,304.9255,30.0124,84.5333,0.4286,0.5714,-183.6448,3
physics_only,150,1,65,21,7591,168.2632,276.0695,26.8207,57.7661,0.381,0.5714,-153.0601,3
physics_only,150,2,65,21,7591,239.9571,341.7558,42.3378,129.119,0.0952,0.2857,-230.7969,3
physics_only,150,0,66,20,7591,219.0223,294.8187,36.8545,155.5556,0.25,0.4,-210.192,4
physics_only,150,1,66,20,7591,160.6188,223.1736,29.8512,91.0453,0.3,0.55,-101.7835,4
physics_only,150,2,66,20,7591,193.3886,256.865,34.9762,144.1974,0.2,0.35,-166.4145,4
mlp_matched,150,0,63,22,7601,101.4839,139.373,24.8664,78.8784,0.3636,0.6364,-11.1422,0
mlp_matched,150,1,63,22,7601,129.2355,162.9186,33.7141,104.1735,0.2273,0.5,-5.9037,0
mlp_matched,150,2,63,22,7601,114.575,150.386,28.7899,64.5446,0.2273,0.5455,8.2014,0
mlp_matched,150,0,63,23,7601,120.8045,255.9968,18.2135,56.968,0.4783,0.7391,-70.5054,1
mlp_matched,150,1,63,23,7601,122.9692,251.5172,19.5966,54.6303,0.4783,0.6957,-66.601,1
mlp_matched,150,2,63,23,7601,121.2992,249.664,18.9291,60.7131,0.4348,0.7391,-65.5398,1
mlp_matched,150,0,66,20,7601,113.2761,158.1371,18.6177,70.9299,0.35,0.7,-72.6236,2
mlp_matched,150,1,66,20,7601,107.1428,148.7433,18.5253,71.6698,0.4,0.65,-62.8687,2
mlp_matched,150,2,66,20,7601,106.5273,149.3919,17.8561,50.7049,0.4,0.6,-57.873,2
mlp_matched,150,0,65,21,7601,130.6467,209.2047,25.108,75.5952,0.2857,0.619,-59.4918,3
mlp_matched,150,1,65,21,7601,133.8718,211.0086,27.0615,79.4788,0.3333,0.5238,-58.0253,3
mlp_matched,150,2,65,21,7601,122.7305,202.1774,23.0707,69.9277,0.381,0.619,-41.9052,3
mlp_matched,150,0,66,20,7601,130.9044,168.4027,30.8949,78.9574,0.25,0.6,-1.4001,4
mlp_matched,150,1,66,20,7601,134.8752,173.1317,32.9896,93.4257,0.35,0.55,17.513,4
mlp_matched,150,2,66,20,7601,131.8013,168.676,32.195,95.6318,0.25,0.55,20.4629,4
constant_median,150,0,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,1,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,2,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,0,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,1,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,2,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,0,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,1,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,2,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,0,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,1,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,2,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,0,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
constant_median,150,1,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
constant_median,150,2,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
full,50,0,71,23,7591,121.9992,190.5491,55.6811,54.8485,0.4783,0.7391,-45.3397,0
full,50,1,71,23,7591,124.3948,190.8858,55.4239,54.666,0.4348,0.6957,-43.1638,0
full,50,2,71,23,7591,123.3301,188.1819,57.2209,56.3644,0.4348,0.6957,-42.0208,0
full,50,0,71,23,7591,146.4599,301.9262,21.1626,54.6872,0.4348,0.7391,-124.8654,1
full,50,1,71,23,7591,153.6548,308.3529,22.5834,59.7433,0.4348,0.6087,-118.639,1
full,50,2,71,23,7591,168.5634,310.8152,25.1223,98.961,0.2609,0.5217,-153.4938,1
full,50,0,71,23,7591,152.253,214.7925,59.6467,91.9991,0.3913,0.5217,-65.5892,2
full,50,1,71,23,7591,175.6932,230.793,56.4926,114.9515,0.2174,0.4348,-99.1194,2
full,50,2,71,23,7591,149.732,208.567,49.5731,79.1396,0.3913,0.5217,-87.9777,2
full,50,0,71,23,7591,174.905,280.5151,39.4801,49.5658,0.5217,0.6087,-100.637,3
full,50,1,71,23,7591,191.574,280.4616,46.8546,107.4262,0.2609,0.4348,-77.5212,3
full,50,2,71,23,7591,165.4719,276.0046,35.5413,36.9315,0.5217,0.6087,-108.9631,3
full,50,0,71,23,7591,168.2959,228.2061,82.7879,92.8716,0.3043,0.5652,9.6616,4
full,50,1,71,23,7591,194.627,248.9665,82.9037,111.4465,0.2174,0.4348,-13.9909,4
full,50,2,71,23,7591,177.325,236.2913,75.7267,124.9093,0.3043,0.4783,-30.6903,4
arch_only,50,0,71,23,7591,127.9687,196.7119,61.1262,85.8461,0.4348,0.6957,-22.9611,0
arch_only,50,1,71,23,7591,132.7006,217.6694,66.2369,60.4258,0.3478,0.6522,-4.1776,0
arch_only,50,2,71,23,7591,128.213,180.9681,61.7289,72.6196,0.2609,0.6087,-18.9029,0
arch_only,50,0,71,23,7591,142.975,299.7371,20.2781,55.3029,0.4783,0.7391,-100.2229,1
arch_only,50,1,71,23,7591,171.1786,309.8702,29.2759,89.8398,0.2609,0.5652,-69.9263,1
arch_only,50,2,71,23,7591,147.8247,302.655,22.4386,53.8835,0.4348,0.6522,-116.493,1
arch_only,50,0,71,23,7591,148.4033,206.2254,52.0991,99.88,0.3043,0.5217,-79.4733,2
arch_only,50,1,71,23,7591,159.5281,212.9326,55.1599,114.7127,0.1739,0.4348,-74.1204,2
arch_only,50,2,71,23,7591,140.8255,188.6767,53.4906,105.1557,0.3043,0.4783,-52.4428,2
arch_only,50,0,71,23,7591,173.2591,274.59,40.0527,56.0862,0.4348,0.6087,-96.9353,3
arch_only,50,1,71,23,7591,188.9904,275.5368,48.8553,151.9312,0.2174,0.4783,-54.8911,3
arch_only,50,2,71,23,7591,172.302,270.0923,41.3213,70.5926,0.4348,0.6087,-77.5696,3
arch_only,50,0,71,23,7591,170.2204,225.0591,87.259,115.4282,0.2609,0.4348,48.6007,4
arch_only,50,1,71,23,7591,195.6069,248.7753,92.2196,153.1519,0.1739,0.4348,36.3359,4
arch_only,50,2,71,23,7591,174.9589,230.5692,80.8547,93.535,0.2609,0.5217,3.2012,4
physics_only,50,0,71,23,7591,181.182,240.4051,48.1557,158.1479,0.3478,0.3478,-155.2621,0
physics_only,50,1,71,23,7591,136.6668,191.7088,45.5412,77.1366,0.2174,0.6087,-82.3811,0
physics_only,50,2,71,23,7591,200.0038,252.284,55.1364,176.1018,0.1304,0.3043,-177.669,0
physics_only,50,0,71,23,7591,240.1845,376.3466,37.6627,184.75,0.2174,0.2609,-234.7192,1
physics_only,50,1,71,23,7591,151.4193,305.6153,22.2489,58.642,0.3913,0.6522,-120.3768,1
physics_only,50,2,71,23,7591,300.7463,410.2849,52.4925,264.4141,0.0435,0.1739,-300.7463,1
physics_only,50,0,71,23,7591,260.9355,321.2647,74.4119,231.4195,0.087,0.2609,-201.6801,2
physics_only,50,1,71,23,7591,185.5395,236.9177,60.0929,138.1271,0.1739,0.4348,-104.3791,2
physics_only,50,2,71,23,7591,253.4816,314.9678,62.5951,224.292,0.0435,0.3043,-216.2665,2
physics_only,50,0,71,23,7591,246.3808,362.1802,45.2434,167.7961,0.2174,0.4348,-230.6501,3
physics_only,50,1,71,23,7591,191.9514,281.1863,46.7897,114.2899,0.2609,0.4348,-79.5349,3
physics_only,50,2,71,23,7591,251.1596,359.5634,47.9574,163.0126,0.087,0.3478,-236.8598,3
physics_only,50,0,71,23,7591,230.7553,294.4847,62.0774,172.8086,0.087,0.3043,-178.1709,4
physics_only,50,1,71,23,7591,194.9165,249.5756,81.9703,113.0537,0.2174,0.4783,-18.3328,4
physics_only,50,2,71,23,7591,240.1739,309.0107,60.5269,169.5353,0.0435,0.3043,-198.0751,4
mlp_matched,50,0,71,23,7601,126.1433,185.0873,56.3462,87.7902,0.3913,0.6522,-36.0497,0
mlp_matched,50,1,71,23,7601,123.886,171.0133,60.5935,88.7713,0.3043,0.6087,-1.2275,0
mlp_matched,50,2,71,23,7601,130.054,176.1051,58.5454,99.9073,0.2609,0.5217,-8.0772,0
mlp_matched,50,0,71,23,7601,172.7612,332.6088,27.2238,72.3441,0.3913,0.7391,-134.809,1
mlp_matched,50,1,71,23,7601,166.4416,325.7883,25.2223,66.7796,0.3913,0.7391,-134.5302,1
mlp_matched,50,2,71,23,7601,170.1067,328.0319,27.3279,55.3638,0.4783,0.6087,-129.3671,1
mlp_matched,50,0,71,23,7601,146.5771,203.3393,51.7049,104.5429,0.4348,0.4783,-75.0449,2
mlp_matched,50,1,71,23,7601,135.764,191.9595,42.1311,61.121,0.3913,0.5217,-82.0933,2
mlp_matched,50,2,71,23,7601,148.6476,202.5934,42.8131,103.68,0.2609,0.4783,-101.1189,2
mlp_matched,50,0,71,23,7601,215.0768,309.9615,52.6956,163.3539,0.3043,0.3478,-103.9885,3
mlp_matched,50,1,71,23,7601,196.3002,297.8205,48.5676,82.0635,0.3913,0.5217,-97.2624,3
mlp_matched,50,2,71,23,7601,185.8202,283.3586,48.1755,118.522,0.3913,0.4348,-70.7583,3
mlp_matched,50,0,71,23,7601,168.771,219.0821,69.8655,65.8242,0.1739,0.5217,-40.3778,4
mlp_matched,50,1,71,23,7601,176.1853,232.0292,75.9518,96.0923,0.2609,0.5217,-37.1988,4
mlp_matched,50,2,71,23,7601,178.5988,229.5422,80.1596,109.8236,0.1739,0.4783,-12.2458,4
constant_median,50,0,71,23,0,163.5217,192.7029,59.0606,144.0,0.1304,0.2174,-31.7826,0
constant_median,50,1,71,23,0,163.5217,192.7029,59.0606,144.0,0.1304,0.2174,-31.7826,0
constant_median,50,2,71,23,0,163.5217,192.7029,59.0606,144.0,0.1304,0.2174,-31.7826,0
constant_median,50,0,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,1,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,2,71,23,0,194.0,318.9901,35.5966,142.0,0.1304,0.2174,-115.8261,1
constant_median,50,0,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,1,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,2,71,23,0,196.0435,244.4379,78.965,179.0,0.1304,0.3913,-25.5217,2
constant_median,50,0,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,1,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,2,71,23,0,229.6522,283.5916,72.7803,237.0,0.1304,0.1739,44.1739,3
constant_median,50,0,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
constant_median,50,1,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
constant_median,50,2,71,23,0,207.5217,246.1711,88.2921,195.0,0.087,0.3478,6.7391,4
full,100,0,68,22,7591,99.1525,155.2371,19.501,45.2695,0.5,0.7273,-61.2631,0
full,100,1,68,22,7591,96.5291,147.639,19.6188,43.9996,0.5909,0.7273,-41.8221,0
full,100,2,68,22,7591,98.3452,154.608,21.0305,39.7749,0.5909,0.6818,-38.6622,0
full,100,0,68,23,7591,145.0071,293.2536,21.2186,62.1145,0.3478,0.6087,-124.7775,1
full,100,1,68,23,7591,131.9897,284.8672,18.8973,58.8945,0.3913,0.7826,-102.8843,1
full,100,2,68,23,7591,144.4107,291.1701,21.6973,66.5114,0.3913,0.6957,-122.5652,1
full,100,0,70,21,7591,142.2388,202.1609,32.4396,71.048,0.3333,0.6667,-92.4763,2
full,100,1,70,21,7591,130.1595,192.74,30.127,65.1744,0.4762,0.619,-85.744,2
full,100,2,70,21,7591,148.8378,208.4952,32.66,78.282,0.381,0.5714,-107.638,2
full,100,0,68,23,7591,160.9807,251.164,40.2604,98.6747,0.3913,0.5217,-63.1143,3
full,100,1,68,23,7591,156.6923,258.5207,36.6404,42.1613,0.5652,0.6087,-79.4283,3
full,100,2,68,23,7591,161.2612,258.7788,39.5919,66.5203,0.4783,0.5217,-65.1805,3
full,100,0,69,22,7591,152.6074,213.1935,58.8625,93.1029,0.3636,0.5455,-6.3896,4
full,100,1,69,22,7591,162.4648,218.6643,64.9394,100.4761,0.4091,0.5,14.0474,4
full,100,2,69,22,7591,163.5056,222.7144,58.0648,112.0037,0.3182,0.4545,-28.5028,4
arch_only,100,0,68,22,7591,100.417,143.5811,21.5087,55.6095,0.4091,0.6364,-20.9279,0
arch_only,100,1,68,22,7591,105.5821,152.1177,23.3071,59.0581,0.3636,0.6818,-27.4693,0
arch_only,100,2,68,22,7591,99.2441,135.8787,23.2795,66.3744,0.4091,0.6364,-0.8208,0
arch_only,100,0,68,23,7591,127.8025,279.514,18.4864,45.488,0.5217,0.6957,-82.8608,1
arch_only,100,1,68,23,7591,130.9386,290.4222,18.2863,50.762,0.4783,0.7826,-102.1116,1
arch_only,100,2,68,23,7591,126.6108,279.2121,19.7523,28.1683,0.5652,0.6957,-79.3893,1
arch_only,100,0,70,21,7591,133.2106,191.1184,32.0737,62.1173,0.4286,0.5714,-77.2352,2
arch_only,100,1,70,21,7591,147.8825,209.4023,33.7012,78.9908,0.2857,0.619,-108.7019,2
arch_only,100,2,70,21,7591,137.9827,188.6719,35.2997,82.2106,0.1905,0.5714,-77.625,2
arch_only,100,0,68,23,7591,166.0375,266.4507,40.4328,80.5681,0.4348,0.5652,-67.6211,3
arch_only,100,1,68,23,7591,159.8742,251.8674,40.245,95.5208,0.3478,0.5217,-58.3616,3
arch_only,100,2,68,23,7591,163.6749,248.4569,44.8778,113.9112,0.3478,0.4348,-40.6549,3
arch_only,100,0,69,22,7591,162.502,218.878,66.9937,100.2062,0.2727,0.5,30.4038,4
arch_only,100,1,69,22,7591,163.4101,218.7752,65.1725,90.9359,0.2727,0.5,20.0963,4
arch_only,100,2,69,22,7591,161.6553,215.8195,65.7188,91.9272,0.4091,0.5,25.1771,4
physics_only,100,0,68,22,7591,230.748,293.0647,44.2171,215.861,0.1364,0.3636,-229.9256,0
physics_only,100,1,68,22,7591,120.3256,172.6576,22.8869,77.9315,0.3636,0.5455,-93.1551,0
physics_only,100,2,68,22,7591,199.6836,252.3054,39.4813,173.8536,0.1364,0.3636,-190.002,0
physics_only,100,0,68,23,7591,312.6348,427.4378,53.734,280.6879,0.0435,0.2609,-312.6348,1
physics_only,100,1,68,23,7591,168.8927,315.9912,24.228,93.295,0.3478,0.5217,-157.2581,1
physics_only,100,2,68,23,7591,284.2956,400.6417,48.6055,237.6883,0.1304,0.1739,-284.2956,1
physics_only,100,0,70,21,7591,260.7943,324.5472,47.9378,223.2847,0.1429,0.2381,-245.5087,2
physics_only,100,1,70,21,7591,189.1027,249.6071,38.0956,115.178,0.1429,0.381,-163.1973,2
physics_only,100,2,70,21,7591,277.0874,334.2418,52.4724,210.3271,0.0,0.1905,-268.1578,2
physics_only,100,0,68,23,7591,168.7762,269.6852,38.9625,67.678,0.4348,0.6087,-88.367,3
physics_only,100,1,68,23,7591,181.4306,282.1501,39.3764,128.586,0.3478,0.4783,-111.3086,3
physics_only,100,2,68,23,7591,239.2177,351.3685,44.8868,154.6578,0.1739,0.4348,-221.4502,3
physics_only,100,0,69,22,7591,213.4891,284.1648,49.0689,192.7755,0.2273,0.4091,-170.0637,4
physics_only,100,1,69,22,7591,176.0581,242.5479,53.799,96.3294,0.3636,0.5,-74.2274,4
